"","original_id","y","from_start","Afternoon","Evening","Morning","Night","Spring","Summer","Autumn","Winter","mu_s","max_s","sd_s","avg_acceleration","mu_c","max_c","sd_c","mu_a","max_a","sd_a","upwards","downwards"
"1",2,2,-0.376672556756362,1,0,0,0,0,0,1,0,-1.99275679069959,-1.57392817711787,0.670020298766125,-1.00006562648721,-1.71211685818729,-1.19075929418962,0.669484193380629,0.0457541062645786,0.0368743946547171,-0.244088324270745,-0.25612934550958,-0.601551940530718
"2",4,3,-0.595918412992942,0,0,1,0,0,0,0,1,-0.496904224556833,-0.749004853889611,-0.394723666021097,0.860881995361934,0.00463701821425743,-0.0111437297986589,-0.153336170568397,0.027824104652796,0.0777237395512599,1.54271233785512,1.57954233255502,-0.811633488686938
"3",5,4,-0.300633531471999,0,0,0,1,0,1,0,0,0.470968132817296,0.407489591490586,-0.101248216371676,0.695162572102375,0.572680580258887,0.382061458331661,-0.404089829150223,-0.221640764711139,-0.238177860982005,-0.640196081441805,-0.600317785146694,-0.654072327569773
"4",9,2,-1.16937939534585,1,0,0,0,0,1,0,0,-0.299185722373648,0.535633020341577,1.22199746513363,-0.102192357843208,-0.632834090302493,-0.797554106059299,-0.346746997040673,-0.144889380260702,-0.126522984931454,0.18511137195469,-0.600317785146693,0.343815026172278
"5",10,4,0.453420135931269,0,0,1,0,0,0,1,0,-1.60033462348877,1.17955375031781,2.41375415286951,-0.65232650882781,0.294970394370401,0.971869240527141,0.905566864601844,-0.108937897437077,-0.104736667653298,0.168483657870675,0.0880590941275333,0.501376187289445
"6",11,0,-1.13516183396788,0,0,1,0,0,0,1,0,-5.30913247702751,-5.743394993357,-1.03462569406202,-0.0179742902850719,-6.19966099833987,-6.6956319280141,-0.766374797814986,-0.227495459114987,-0.246347729961313,-0.719230877892087,-0.829776744904768,-0.759113101647883
"7",12,2,-0.236634018524326,1,0,0,0,1,0,0,0,-1.61968439650531,-1.01650426161606,0.651805528490014,-1.46598170991368,-0.260449977406571,-0.404348917928979,-0.353602521472956,-0.215603111107172,-0.230007992002696,-0.617513973562866,-0.0840351256910233,-0.128868457179219
"8",14,2,-0.581344266480106,1,0,0,0,1,0,0,0,-0.601930188012053,-0.846714218388492,-0.693868377513547,-0.470306814427967,-0.809558754049711,-0.797554106059299,-0.236813060048972,0.00403940863716589,-0.00397495024182577,-0.244448548730167,-0.0266703857515058,-0.23390923125733
"9",15,3,-0.246772555228908,1,0,0,0,0,0,1,0,0.272372587097951,0.168822455255614,-0.0079449359823544,-0.443139695860826,0.105622540355525,0.185458864266501,0.250735820897789,-0.00474263296860521,-0.00669823990159533,-0.139992540341453,-0.0266703857515078,0.0812130909770008
"10",17,4,0.997732825258501,0,0,1,0,1,0,0,0,0.689571234205302,1.24042187902203,0.751007890818458,0.669353809463591,0.793586409942911,0.775266646461981,-0.0350853664126498,-0.21450535590645,-0.221838123023388,-0.21586905686133,-0.0840351256910253,-0.549031553491662
"11",18,2,-1.38418964177417,0,0,1,0,0,0,0,1,0.152107992201942,-0.204395281272898,-0.616631189379325,0.66527874167852,-0.550783353562715,-0.207746323863819,0.562139790422494,-0.204259640699717,-0.213668254044079,-0.580246150212092,-0.370858825388618,-0.549031553491662
"12",19,4,0.561775746961486,0,0,1,0,1,0,0,0,0.574404454863225,0.056696955010997,-0.866301911351154,0.0513018620611368,1.19121690337415,1.1684718345923,-0.612617273995796,-0.516662474905012,-0.529569854577344,-0.645391972210905,-0.313494085449085,-0.286429618296372
"13",20,2,-0.516711094988397,1,0,0,0,0,0,1,0,-0.756563926481352,-1.1126118332543,-0.619461858088153,-0.172826866117775,-0.670703661105468,-0.797554106059299,-0.423750133220539,0.0419119630620537,0.0368743946547171,-0.232685671887145,-0.0266703857515058,-0.391470392374496
"14",21,5,0.52629086849545,0,0,1,0,0,0,0,1,1.45364059986413,2.46899700313091,1.27439400643047,-1.54612470968674,0.926129907753325,1.56167702272262,1.11654612452476,0.184437179955714,0.175762167302963,-0.353659853602851,-0.198764605570066,0.0286927039379429
"15",22,4,-0.378573532388471,0,0,1,0,1,0,0,0,1.29193569788454,0.796725256625472,-0.839227748832069,0.333839895159402,0.692600887801644,0.578664052396821,-0.346746997040673,-0.522425689708799,-0.529569854577344,-0.49572386025679,-0.256129345509584,-0.233909231257333
